id,name,category,action,archetype,domain,intent,workflow_1,workflow_2,workflow_3,workflow_4,input_hint
"audio-compressor","Audio Compressor","audio & sound","compressor","coach","Audio","Compressor gives targeted Audio guidance with next actions.","Assess audio baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"audio-editor","Audio Editor","audio & sound","editor","coach","Audio","Editor gives targeted Audio guidance with next actions.","Assess audio baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"audio-format-converter","Audio Format Converter","audio & sound","converter","quantify","Audio Format","Converter turns Audio Format input into clear metrics and decision-ready numbers.","Collect audio format inputs","Normalize values and units","Compute core metrics","Recommend next move","Enter numbers, assumptions, and targets (one per line or sentence)."
"audio-loop-maker","Audio Loop Maker","audio & sound","maker","generate","Audio Loop","Maker creates concrete Audio Loop outputs you can use immediately.","Interpret audio loop direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"binaural-beats","Binaural Beats","audio & sound","beats","coach","Binaural","Beats gives targeted Binaural guidance with next actions.","Assess binaural baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"bpm-detector","Bpm Detector","audio & sound","analyzer","inspect","Bpm","Analyzer reviews Bpm input, highlights signals, and flags risks.","Parse bpm context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"chord-builder","Chord Builder","audio & sound","builder","plan","Chord","Builder structures Chord input into a practical step-by-step plan.","Define chord objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"decibel-meter","Decibel Meter","audio & sound","meter","coach","Decibel","Meter gives targeted Decibel guidance with next actions.","Assess decibel baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"delay-designer","Delay Designer","audio & sound","designer","generate","Delay","Designer creates concrete Delay outputs you can use immediately.","Interpret delay direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"eq-assistant","Eq Assistant","audio & sound","assistant","coach","Eq","Assistant gives targeted Eq guidance with next actions.","Assess eq baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"frequency-finder","Frequency Finder","audio & sound","finder","explore","Frequency","Finder explores Frequency options and prioritizes the strongest paths.","Frame frequency search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"instrument-tuner","Instrument Tuner","audio & sound","tuner","coach","Instrument","Tuner gives targeted Instrument guidance with next actions.","Assess instrument baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
